token@token lego-rl % scripts/run_on_hub.sh robot/sysid_collision.py
Searching for any hub with Pybricks service...
battery mV: 7514
gains: 10.71 0.8700001 0.43 0.3 tau: 30 slew: 150 trig: rate> 80 or stall< 0.5
targets deg/s: (300, 450, 600, 750) x 3 reps, ascending
S,seg,v_target,battery_mV,hit,fell,v_at_trig,peak_rate,peak_pitch_x10,recov_sigma_x100,trig_eff
D,i,pitch_x100,rate_x10,yaw_x10,wl,wr,duty_x10,vref
D , 86 , 430 , -471 , 182 , 892 , 807 , 1000 , 300
D , 87 , 264 , -716 , 1247 , 885 , 813 , 1000 , 300
D , 88 , 266 , -529 , 1414 , 871 , 808 , 1000 , 300
D , 89 , 313 , -264 , 604 , 789 , 781 , 1000 , 300
D , 90 , 367 , -107 , 144 , 792 , 762 , 1000 , 300
D , 91 , 404 , -30 , 271 , 818 , 777 , 1000 , 300
D , 92 , 427 , 50 , 294 , 875 , 787 , 1000 , 300
D , 93 , 458 , 144 , 502 , 882 , 812 , 1000 , 300
D , 94 , 495 , 242 , 114 , 882 , 834 , 1000 , 300
D , 95 , 528 , 285 , -710 , 882 , 846 , 1000 , 300
D , 96 , 551 , 278 , -1428 , 868 , 828 , 1000 , 300
D , 97 , 521 , 70 , -1599 , 869 , 789 , 1000 , 300
D , 98 , 413 , -319 , -386 , 875 , 802 , 1000 , 300
D , 99 , 237 , -946 , 639 , 852 , 831 , 1000 , 300
T , 100 , -49 , -1480 , 656 , 827 , 882 , 1000 , 300
D , 101 , -288 , -2003 , 321 , 819 , 866 , 479 , 300
D , 102 , -559 , -2531 , -25 , 819 , 852 , -253 , 300
D , 103 , -849 , -3034 , -648 , 890 , 854 , -865 , 300
D , 104 , -1122 , -3378 , -1019 , 898 , 851 , -1000 , 300
D , 105 , -1344 , -3394 , -638 , 890 , 853 , -1000 , 300
D , 106 , -1440 , -3081 , 110 , 867 , 837 , -1000 , 300
D , 107 , -1459 , -2675 , -406 , 844 , 805 , -1000 , 300
D , 108 , -1481 , -2374 , -541 , 801 , 753 , -1000 , 300
D , 109 , -1511 , -2134 , 363 , 753 , 729 , -1000 , 300
D , 110 , -1570 , -2038 , 754 , 690 , 711 , -1000 , 300
D , 111 , -1653 , -2001 , 411 , 626 , 670 , -1000 , 300
D , 112 , -1747 , -1994 , -382 , 557 , 615 , -1000 , 300
D , 113 , -1826 , -1914 , -866 , 503 , 527 , -1000 , 300
D , 114 , -1872 , -1732 , -602 , 443 , 441 , -1000 , 300
D , 115 , -1885 , -1499 , -18 , 363 , 375 , -1000 , 300
D , 116 , -1880 , -1251 , 341 , 302 , 308 , -1000 , 300
D , 117 , -1863 , -1021 , 533 , 239 , 213 , -1000 , 300
D , 118 , -1847 , -841 , 345 , 160 , 132 , -1000 , 300
D , 119 , -1836 , -695 , 192 , 88 , 40 , -1000 , 300
D , 120 , -1834 , -591 , 144 , 14 , -44 , -1000 , 300
D , 121 , -1824 , -455 , 246 , -65 , -108 , -1000 , 300
D , 122 , -1790 , -267 , 363 , -152 , -183 , -1000 , 300
D , 123 , -1734 , -40 , 241 , -283 , -270 , -1000 , 300
D , 124 , -1663 , 183 , 33 , -370 , -346 , -1000 , 300
D , 125 , -1587 , 382 , -71 , -443 , -432 , -1000 , 300
D , 126 , -1491 , 551 , -153 , -508 , -499 , -1000 , 300
D , 127 , -1415 , 695 , -146 , -572 , -561 , -1000 , 300
D , 128 , -1340 , 811 , -130 , -621 , -623 , -1000 , 300
D , 129 , -1265 , 923 , 38 , -655 , -682 , -1000 , 300
D , 130 , -1183 , 1039 , 205 , -693 , -734 , -1000 , 300
D , 131 , -1097 , 1157 , 189 , -730 , -778 , -1000 , 300
D , 132 , -1004 , 1266 , -2 , -765 , -816 , -1000 , 300
D , 133 , -910 , 1364 , -179 , -806 , -847 , -1000 , 300
D , 134 , -811 , 1468 , -45 , -847 , -870 , -1000 , 300
D , 135 , -682 , 1563 , 196 , -872 , -895 , -1000 , 300
D , 136 , -576 , 1654 , 204 , -898 , -908 , -1000 , 300
D , 137 , -468 , 1734 , 156 , -921 , -899 , -1000 , 300
D , 138 , -360 , 1808 , -56 , -941 , -918 , -1000 , 300
D , 139 , -249 , 1879 , -116 , -960 , -948 , -1000 , 300
D , 140 , -135 , 1950 , -80 , -988 , -982 , -1000 , 300
D , 141 , -16 , 2025 , 47 , -1005 , -990 , -1000 , 300
D , 142 , 103 , 2092 , 82 , -1027 , -1016 , -1000 , 300
D , 143 , 258 , 2161 , 137 , -1035 , -1029 , -1000 , 300
D , 144 , 383 , 2227 , 62 , -1050 , -1053 , -1000 , 300
D , 145 , 515 , 2299 , -100 , -1068 , -1067 , -1000 , 300
D , 146 , 647 , 2361 , -188 , -1081 , -1078 , -1000 , 300
D , 147 , 784 , 2428 , -48 , -1100 , -1095 , -954 , 300
D , 148 , 921 , 2488 , 57 , -1116 , -1101 , -815 , 300
D , 149 , 1061 , 2546 , 104 , -1120 , -1118 , -673 , 300
D , 150 , 1205 , 2610 , -64 , -1142 , -1124 , -533 , 300
D , 151 , 1355 , 2693 , -55 , -1156 , -1134 , -362 , 300
D , 152 , 1549 , 2762 , 120 , -1173 , -1146 , -168 , 300
D , 153 , 1700 , 2806 , 131 , -1190 , -1160 , -40 , 300
D , 154 , 1846 , 2827 , 103 , -1197 , -1172 , 75 , 300
D , 155 , 1977 , 2792 , -8 , -1195 , -1177 , 159 , 300
D , 156 , 2089 , 2691 , -61 , -1187 , -1166 , 199 , 300
D , 157 , 2173 , 2520 , -35 , -1172 , -1156 , 160 , 300
D , 158 , 2226 , 2283 , -16 , -1150 , -1134 , 64 , 300
D , 159 , 2252 , 2002 , 103 , -1123 , -1104 , -80 , 300
D , 160 , 2245 , 1668 , 135 , -1083 , -1077 , -285 , 300
D , 161 , 2219 , 1342 , 38 , -1053 , -1053 , -526 , 300
D , 162 , 2187 , 1056 , 1 , -1007 , -1009 , -682 , 300
D , 163 , 2159 , 829 , 4 , -972 , -966 , -802 , 300
D , 164 , 2139 , 663 , 68 , -929 , -918 , -837 , 300
D , 165 , 2131 , 561 , 34 , -886 , -871 , -805 , 300
D , 166 , 2144 , 553 , -44 , -847 , -834 , -693 , 300
D , 167 , 2191 , 656 , -154 , -809 , -795 , -449 , 300
D , 168 , 2277 , 879 , -96 , -776 , -763 , -77 , 300
D , 169 , 2427 , 1136 , 49 , -752 , -734 , 370 , 300
D , 170 , 2561 , 1368 , 190 , -713 , -715 , 788 , 300
D , 171 , 2697 , 1567 , 134 , -681 , -692 , 1000 , 300
D , 172 , 2822 , 1696 , -65 , -646 , -656 , 1000 , 300
D , 173 , 2917 , 1679 , -151 , -589 , -609 , 1000 , 300
D , 174 , 2964 , 1518 , -124 , -533 , -553 , 1000 , 300
D , 175 , 2965 , 1260 , -33 , -483 , -497 , 1000 , 300
D , 176 , 2931 , 954 , 168 , -433 , -444 , 1000 , 300
D , 177 , 2876 , 630 , 174 , -388 , -404 , 1000 , 300
D , 178 , 2786 , 309 , 191 , -344 , -363 , 1000 , 300
D , 179 , 2702 , 9 , 246 , -302 , -323 , 937 , 300
D , 180 , 2616 , -243 , 286 , -262 , -287 , 745 , 300
D , 181 , 2534 , -446 , 233 , -211 , -240 , 638 , 300
D , 182 , 2457 , -597 , 93 , -170 , -204 , 549 , 300
D , 183 , 2389 , -702 , -70 , -131 , -164 , 514 , 300
D , 184 , 2329 , -772 , -134 , -94 , -125 , 514 , 300
D , 185 , 2275 , -816 , -68 , -57 , -93 , 529 , 300
D , 186 , 2207 , -866 , 57 , -16 , -47 , 552 , 300
D , 187 , 2145 , -933 , 66 , 31 , 4 , 585 , 300
D , 188 , 2076 , -1007 , -71 , 88 , 56 , 619 , 300
D , 189 , 2004 , -1079 , -147 , 147 , 115 , 670 , 300
D , 190 , 1930 , -1143 , -113 , 205 , 184 , 735 , 300
D , 191 , 1854 , -1200 , 44 , 265 , 249 , 803 , 300
D , 192 , 1781 , -1242 , 157 , 322 , 306 , 872 , 300
D , 193 , 1711 , -1268 , 159 , 363 , 352 , 918 , 300
D , 194 , 1643 , -1285 , -17 , 408 , 395 , 977 , 300
D , 195 , 1557 , -1310 , -127 , 444 , 426 , 979 , 300
D , 196 , 1485 , -1343 , -78 , 476 , 458 , 983 , 300
D , 197 , 1402 , -1405 , 63 , 502 , 490 , 944 , 300
D , 198 , 1308 , -1496 , 65 , 534 , 523 , 878 , 300
D , 199 , 1200 , -1610 , -60 , 562 , 552 , 767 , 300
D , 200 , 1084 , -1727 , -27 , 585 , 584 , 640 , 300
D , 201 , 966 , -1826 , 21 , 605 , 606 , 512 , 300
D , 202 , 853 , -1892 , -28 , 629 , 631 , 426 , 300
D , 203 , 746 , -1924 , 35 , 651 , 641 , 349 , 300
D , 204 , 626 , -1907 , -25 , 667 , 659 , 304 , 300
D , 205 , 544 , -1865 , -64 , 690 , 681 , 337 , 300
D , 206 , 473 , -1794 , -9 , 709 , 695 , 389 , 300
D , 207 , 415 , -1694 , 23 , 717 , 708 , 458 , 300
D , 208 , 370 , -1570 , -1 , 721 , 717 , 553 , 300
D , 209 , 337 , -1432 , -27 , 728 , 720 , 667 , 300
D , 210 , 312 , -1294 , 63 , 730 , 721 , 776 , 300
D , 211 , 293 , -1159 , 148 , 723 , 723 , 878 , 300
D , 212 , 273 , -1044 , 68 , 723 , 723 , 966 , 300
D , 213 , 249 , -981 , -87 , 726 , 726 , 1000 , 300
D , 214 , 205 , -999 , -141 , 724 , 722 , 962 , 300
D , 215 , 137 , -1077 , -106 , 719 , 722 , 828 , 300
D , 216 , 47 , -1206 , -40 , 722 , 723 , 641 , 300
D , 217 , -56 , -1353 , 61 , 733 , 733 , 451 , 300
D , 218 , -165 , -1478 , 106 , 727 , 737 , 241 , 300
D , 219 , -271 , -1574 , 77 , 735 , 739 , 79 , 300
D , 220 , -369 , -1623 , 65 , 727 , 735 , -71 , 300
D , 221 , -477 , -1620 , 38 , 712 , 732 , -196 , 300
D , 222 , -544 , -1565 , -53 , 703 , 727 , -222 , 300
D , 223 , -586 , -1428 , -139 , 678 , 715 , -195 , 300
D , 224 , -590 , -1192 , -103 , 663 , 696 , -37 , 300
D , 225 , -553 , -872 , 2 , 631 , 671 , 203 , 300
D , 226 , -484 , -519 , 68 , 603 , 644 , 506 , 300
D , 227 , -397 , -178 , 22 , 585 , 612 , 825 , 300
D , 228 , -306 , 113 , -36 , 560 , 583 , 1000 , 300
D , 229 , -218 , 336 , -64 , 543 , 557 , 1000 , 300
D , 230 , -128 , 465 , -67 , 519 , 532 , 1000 , 300
D , 231 , -93 , 451 , 11 , 524 , 523 , 1000 , 300
D , 232 , -106 , 295 , 72 , 519 , 523 , 1000 , 300
D , 233 , -162 , 45 , 58 , 514 , 518 , 1000 , 300
D , 234 , -248 , -227 , -19 , 510 , 518 , 740 , 300
D , 235 , -343 , -474 , -42 , 515 , 522 , 454 , 300
D , 236 , -435 , -673 , -70 , 516 , 523 , 203 , 300
D , 237 , -521 , -828 , -43 , 513 , 522 , -14 , 300
D , 238 , -601 , -932 , -29 , 478 , 511 , -241 , 300
D , 239 , -686 , -976 , -53 , 499 , 508 , -328 , 300
D , 240 , -733 , -944 , -106 , 493 , 494 , -371 , 300
D , 241 , -746 , -797 , -111 , 478 , 475 , -298 , 300
D , 242 , -713 , -535 , -86 , 450 , 451 , -108 , 300
D , 243 , -637 , -196 , 44 , 440 , 435 , 233 , 300
D , 244 , -532 , 160 , 201 , 416 , 417 , 595 , 300
D , 245 , -415 , 481 , 197 , 419 , 406 , 989 , 300
D , 246 , -301 , 734 , 84 , 407 , 394 , 1000 , 300
D , 247 , -172 , 905 , -33 , 398 , 387 , 1000 , 300
D , 248 , -94 , 970 , -123 , 394 , 398 , 1000 , 300
D , 249 , -57 , 889 , -48 , 402 , 409 , 1000 , 300
D , 250 , -69 , 676 , -11 , 398 , 429 , 1000 , 300
D , 251 , -120 , 397 , 3 , 394 , 439 , 1000 , 300
D , 252 , -193 , 111 , -84 , 397 , 437 , 964 , 300
D , 253 , -272 , -134 , -19 , 436 , 447 , 756 , 300
D , 254 , -350 , -341 , 120 , 405 , 453 , 471 , 300
D , 255 , -422 , -490 , 98 , 406 , 459 , 291 , 300
D , 256 , -504 , -606 , 28 , 402 , 460 , 115 , 300
D , 257 , -565 , -693 , -42 , 407 , 460 , 0 , 300
D , 258 , -618 , -742 , -68 , 442 , 462 , -32 , 300
D , 259 , -660 , -742 , -40 , 395 , 453 , -150 , 300
D , 260 , -685 , -688 , -52 , 389 , 461 , -114 , 300
D , 261 , -687 , -569 , 16 , 393 , 453 , -10 , 300
D , 262 , -663 , -390 , -4 , 404 , 451 , 188 , 300
D , 263 , -615 , -167 , -15 , 413 , 456 , 464 , 300
D , 264 , -530 , 68 , 17 , 427 , 462 , 792 , 300
D , 265 , -456 , 278 , 63 , 426 , 462 , 1000 , 300
D , 266 , -384 , 448 , 47 , 440 , 466 , 1000 , 300
D , 267 , -318 , 561 , -92 , 441 , 474 , 1000 , 300
D , 268 , -274 , 575 , -146 , 450 , 477 , 1000 , 300
D , 269 , -267 , 467 , -24 , 450 , 488 , 1000 , 300
D , 270 , -302 , 251 , 100 , 474 , 496 , 1000 , 300
D , 271 , -374 , -23 , 173 , 483 , 502 , 1000 , 300
D , 272 , -465 , -296 , -35 , 490 , 518 , 799 , 300
D , 273 , -580 , -522 , -104 , 465 , 522 , 464 , 300
D , 274 , -668 , -695 , 44 , 507 , 524 , 302 , 300
D , 275 , -672 , -381 , 35 , 505 , 500 , 540 , 300
D , 276 , -544 , 61 , -193 , 497 , 481 , 1000 , 300
D , 277 , -423 , 343 , -61 , 468 , 463 , 1000 , 300
D , 278 , -365 , 437 , 14 , 457 , 456 , 1000 , 300
D , 279 , -318 , 476 , 103 , 467 , 477 , 1000 , 300
D , 280 , -289 , 501 , 147 , 493 , 482 , 1000 , 300
D , 281 , -278 , 436 , -139 , 507 , 482 , 1000 , 300
D , 282 , -289 , 317 , -279 , 504 , 487 , 1000 , 300
D , 283 , -340 , 61 , 42 , 508 , 507 , 1000 , 300
D , 284 , -452 , -345 , 238 , 520 , 536 , 992 , 300
D , 285 , -579 , -617 , -276 , 536 , 564 , 705 , 300
D , 286 , -654 , -712 , -106 , 555 , 591 , 621 , 300
D , 287 , -709 , -778 , 310 , 574 , 614 , 581 , 300
D , 288 , -782 , -896 , 912 , 589 , 635 , 467 , 300
D , 289 , -863 , -999 , 756 , 590 , 641 , 308 , 300
D , 290 , -930 , -982 , 772 , 625 , 646 , 332 , 300
D , 291 , -956 , -891 , 360 , 624 , 635 , 382 , 300
D , 292 , -978 , -855 , -238 , 612 , 601 , 326 , 300
D , 293 , -1028 , -933 , -689 , 585 , 578 , 134 , 300
D , 294 , -1130 , -1153 , -783 , 539 , 564 , -253 , 300
D , 295 , -1278 , -1501 , -536 , 522 , 566 , -727 , 300
D , 296 , -1473 , -1875 , 338 , 512 , 573 , -1000 , 300
D , 297 , -1696 , -2284 , 1112 , 505 , 569 , -1000 , 300
D , 298 , -1908 , -2491 , 842 , 489 , 547 , -1000 , 300
D , 299 , -2110 , -2553 , -203 , 466 , 498 , -1000 , 300
S, 1 , 450 , 7435 , 1 , 0 , 865 , 583 , 370 , 1637 , 338
D , 0 , 321 , 224 , 2 , 663 , 696 , 1000 , 450
D , 1 , 258 , 53 , -104 , 660 , 686 , 992 , 450
D , 2 , 212 , -85 , -72 , 673 , 694 , 853 , 450
D , 3 , 171 , -187 , -89 , 681 , 689 , 725 , 450
D , 4 , 134 , -262 , -13 , 697 , 678 , 628 , 450
D , 5 , 102 , -315 , -31 , 700 , 675 , 547 , 450
D , 6 , 73 , -354 , -67 , 709 , 659 , 472 , 450
D , 7 , 42 , -398 , 8 , 709 , 659 , 401 , 450
D , 8 , 12 , -426 , 14 , 718 , 659 , 342 , 450
D , 9 , -14 , -442 , 65 , 718 , 659 , 314 , 450
D , 10 , -44 , -438 , -15 , 728 , 672 , 320 , 450
D , 11 , -60 , -417 , -74 , 739 , 690 , 364 , 450
D , 12 , -71 , -383 , 42 , 758 , 706 , 435 , 450
D , 13 , -73 , -320 , 220 , 767 , 731 , 539 , 450
D , 14 , -62 , -222 , 194 , 783 , 747 , 684 , 450
D , 15 , -36 , -104 , 5 , 790 , 767 , 855 , 450
D , 16 , -1 , 22 , -131 , 800 , 775 , 1000 , 450
D , 17 , 38 , 134 , -73 , 800 , 782 , 1000 , 450
D , 18 , 76 , 219 , 125 , 798 , 780 , 1000 , 450
D , 19 , 107 , 233 , 65 , 792 , 773 , 1000 , 450
D , 20 , 106 , 163 , -9 , 784 , 769 , 1000 , 450
D , 21 , 71 , 4 , -120 , 790 , 764 , 1000 , 450
D , 22 , 10 , -194 , -97 , 787 , 762 , 815 , 450
D , 23 , -66 , -398 , 73 , 772 , 764 , 535 , 450
D , 24 , -147 , -583 , 135 , 762 , 772 , 285 , 450
D , 25 , -225 , -720 , 173 , 761 , 781 , 94 , 450
D , 26 , -297 , -820 , 120 , 763 , 795 , -45 , 450
D , 27 , -357 , -858 , 33 , 763 , 809 , -121 , 450
D , 28 , -403 , -805 , 14 , 755 , 826 , -111 , 450
D , 29 , -405 , -658 , -37 , 758 , 819 , 8 , 450
D , 30 , -372 , -425 , -53 , 740 , 802 , 193 , 450
D , 31 , -306 , -140 , 93 , 727 , 781 , 460 , 450
D , 32 , -218 , 151 , 168 , 706 , 765 , 754 , 450
D , 33 , -117 , 431 , 91 , 691 , 744 , 1000 , 450
D , 34 , -14 , 673 , 19 , 678 , 738 , 1000 , 450
D , 35 , 85 , 863 , 48 , 658 , 708 , 1000 , 450
D , 36 , 171 , 963 , 60 , 645 , 689 , 1000 , 450
D , 37 , 227 , 919 , -63 , 643 , 684 , 1000 , 450
D , 38 , 240 , 756 , -102 , 647 , 682 , 1000 , 450
D , 39 , 210 , 527 , 69 , 655 , 688 , 1000 , 450
D , 40 , 160 , 296 , 223 , 657 , 688 , 1000 , 450
D , 41 , 108 , 96 , 229 , 655 , 692 , 870 , 450
D , 42 , 57 , -53 , -1 , 652 , 692 , 681 , 450
D , 43 , 12 , -174 , -208 , 660 , 693 , 541 , 450
D , 44 , -28 , -268 , -109 , 664 , 693 , 421 , 450
D , 45 , -68 , -336 , 101 , 650 , 679 , 277 , 450
D , 46 , -103 , -378 , 244 , 650 , 679 , 203 , 450
D , 47 , -138 , -395 , 158 , 645 , 668 , 127 , 450
D , 48 , -156 , -381 , 26 , 647 , 657 , 107 , 450
D , 49 , -161 , -321 , -86 , 639 , 665 , 153 , 450
D , 50 , -147 , -216 , -134 , 646 , 669 , 276 , 450
D , 51 , -113 , -60 , -96 , 651 , 673 , 461 , 450
D , 52 , -59 , 128 , -62 , 654 , 679 , 697 , 450
D , 53 , 10 , 322 , -37 , 663 , 678 , 952 , 450
