H,0,0,302,319,146,99,40,18,8,9,8,10
H,1,1,69,81,63,91,94,107,174,222,59,0
H,2,1,76,72,88,81,108,124,195,197,19,0
H,3,0,362,296,172,83,39,8,0,0,0,0
H,4,0,309,396,190,43,15,5,1,0,0,0
H,5,1,67,89,81,77,115,135,203,177,16,0
H,6,1,82,63,87,94,96,145,194,184,15,0
H,7,0,347,323,184,64,24,13,4,0,0,0
H,8,0,466,302,146,38,8,0,0,0,0,0
H,9,1,82,74,84,99,113,138,209,150,11,0
H,10,1,69,92,80,91,103,136,203,174,12,0
H,11,0,327,359,172,73,16,12,1,0,0,0
H,12,0,311,427,86,53,54,20,6,2,0,0
H,13,1,59,86,77,64,106,107,156,238,67,0
H,14,1,78,63,89,83,88,127,177,203,52,0
H,15,0,365,420,125,43,6,0,0,0,0,0
H,16,0,506,314,116,23,0,0,0,0,0,0
H,17,1,188,142,115,96,105,106,132,66,10,0
H,18,1,80,97,92,106,137,184,198,66,0,0
H,19,0,483,312,85,40,17,18,4,0,0,0
