Searching for any hub with Pybricks service...
battery mV: 7429
slide probe: 2s still / 8s slide / 2s still per rep, 2 reps
D,i,pitch_x100,rate_x10,acc_mm_s2
D , 784 , -20 , -2 , -955
D , 785 , -21 , -32 , 191
D , 786 , -27 , -62 , -988
D , 787 , -31 , -24 , -1196
D , 788 , -31 , -15 , -205
D , 789 , -35 , -56 , -706
D , 790 , -40 , -10 , -1531
D , 791 , -40 , -4 , -849
D , 792 , -44 , -63 , -670
D , 793 , -52 , -83 , -1182
D , 794 , -60 , -61 , -1455
D , 795 , -65 , -51 , -1086
D , 796 , -72 , -75 , -1443
D , 797 , -78 , -51 , -1783
D , 798 , -81 , -13 , -1749
D , 799 , -82 , -2 , -1577
D , 800 , -82 , -7 , -1531
D , 801 , -84 , -23 , -1795
D , 802 , -87 , -43 , -1879
D , 803 , -92 , -49 , -1768
D , 804 , -98 , -63 , -1701
D , 805 , -106 , -104 , -1936
D , 806 , -117 , -100 , -2326
D , 807 , -124 , -39 , -2463
D , 808 , -126 , 5 , -2278
D , 809 , -124 , 35 , -1929
D , 810 , -120 , 47 , -1709
D , 811 , -115 , 44 , -1651
D , 812 , -110 , 62 , -1519
D , 813 , -105 , 33 , -1285
D , 814 , -100 , 49 , -1519
D , 815 , -91 , 124 , -1730
D , 816 , -75 , 206 , -1500
D , 817 , -47 , 294 , -1041
D , 818 , -17 , 309 , -392
D , 819 , 10 , 266 , 184
D , 820 , 31 , 149 , 904
D , 821 , 37 , -1 , 500
D , 822 , 29 , -128 , -33
D , 823 , 12 , -198 , -1010
D , 824 , -8 , -230 , -1103
D , 825 , -30 , -221 , -1227
D , 826 , -50 , -188 , -1661
D , 827 , -67 , -113 , -1869
D , 828 , -74 , -55 , -1883
D , 829 , -76 , 6 , -1299
D , 830 , -73 , 44 , -1182
D , 831 , -68 , 49 , -1385
D , 832 , -63 , 59 , -1089
D , 833 , -56 , 79 , -579
D , 834 , -49 , 54 , -466
D , 835 , -46 , 16 , -1019
D , 836 , -42 , 57 , -1548
D , 837 , -36 , 56 , -253
D , 838 , -33 , 2 , -540
D , 839 , -35 , -3 , -1038
D , 840 , -34 , -13 , 86
D , 841 , -38 , -58 , -129
D , 842 , -44 , -37 , -1570
D , 843 , -45 , 0 , -701
D , 844 , -47 , -40 , -98
D , 845 , -50 , -11 , -990
D , 846 , -49 , -2 , 210
D , 847 , -50 , -32 , -179
D , 848 , -52 , 10 , -1132
D , 849 , -49 , 31 , -461
D , 850 , -47 , 14 , -277
D , 851 , -45 , 34 , -682
D , 852 , -42 , 26 , -71
D , 853 , -41 , 2 , -112
D , 854 , -39 , 33 , -576
D , 855 , -36 , 17 , 270
D , 856 , -36 , -15 , -16
D , 857 , -36 , 18 , 122
D , 858 , -35 , -5 , 289
D , 859 , -36 , -21 , -186
D , 860 , -37 , 9 , 411
D , 861 , -36 , 7 , 488
D , 862 , -36 , -7 , 272
D , 863 , -36 , 33 , 430
D , 864 , -31 , 37 , 799
D , 865 , -28 , 21 , 746
D , 866 , -27 , 24 , 825
D , 867 , -23 , 42 , 1053
D , 868 , -19 , 42 , 1000
D , 869 , -16 , 28 , 964
D , 870 , -12 , 42 , 1144
D , 871 , -8 , 46 , 1297
D , 872 , -3 , 51 , 1194
D , 873 , 1 , 56 , 1261
D , 874 , 8 , 65 , 1218
D , 875 , 15 , 80 , 1141
D , 876 , 23 , 70 , 1369
D , 877 , 27 , 24 , 1479
D , 878 , 27 , -21 , 1156
D , 879 , 24 , -30 , 763
D , 880 , 20 , -49 , 830
D , 881 , 14 , -67 , 315
D , 882 , 9 , -61 , 622
D , 883 , 0 , -99 , 727
D , 884 , -12 , -152 , 461
D , 885 , -29 , -192 , -38
D , 886 , -49 , -210 , -210
D , 887 , -70 , -221 , -284
D , 888 , -93 , -188 , -454
D , 889 , -109 , -147 , -600
D , 890 , -120 , -75 , -1175
D , 891 , -120 , 63 , -1706
D , 892 , -104 , 206 , -624
D , 893 , -82 , 240 , 308
D , 894 , -59 , 220 , 864
D , 895 , -41 , 156 , 1158
D , 896 , -29 , 94 , 1002
D , 897 , -22 , 41 , 902
D , 898 , -20 , 9 , 765
D , 899 , -20 , -18 , 684
D , 900 , -25 , -79 , 447
D , 901 , -35 , -115 , 411
D , 902 , -48 , -130 , 33
D , 903 , -60 , -109 , -284
D , 904 , -70 , -91 , -832
D , 905 , -76 , -33 , -507
D , 906 , -78 , -20 , 40
D , 907 , -79 , -5 , -916
D , 908 , -77 , 35 , -682
D , 909 , -71 , 47 , 90
D , 910 , -67 , 37 , 11
D , 911 , -66 , -4 , -332
D , 912 , -64 , 45 , -538
D , 913 , -62 , 2 , -45
D , 914 , -64 , -39 , -584
D , 915 , -66 , -9 , -220
D , 916 , -68 , -29 , -9
D , 917 , -74 , -81 , -445
D , 918 , -80 , -34 , -1249
D , 919 , -81 , -12 , -256
D , 920 , -86 , -69 , -830
D , 921 , -92 , -36 , -1591
D , 922 , -94 , -6 , -323
D , 923 , -96 , -44 , -622
D , 924 , -102 , -47 , -1120
D , 925 , -102 , 4 , -931
D , 926 , -103 , -31 , -366
D , 927 , -108 , -50 , -1146
D , 928 , -111 , -11 , -1426
D , 929 , -111 , -5 , -430
D , 930 , -115 , -62 , -871
D , 931 , -120 , -45 , -1409
D , 932 , -123 , -12 , -1376
D , 933 , -124 , -33 , -878
D , 934 , -130 , -67 , -1215
D , 935 , -138 , -81 , -1472
D , 936 , -145 , -69 , -1991
D , 937 , -151 , -59 , -1709
D , 938 , -156 , -54 , -1771
D , 939 , -161 , -40 , -2132
D , 940 , -165 , -28 , -2051
D , 941 , -166 , -4 , -1910
D , 942 , -167 , -8 , -1713
D , 943 , -167 , -7 , -1960
D , 944 , -169 , -9 , -1986
D , 945 , -170 , -13 , -2135
D , 946 , -171 , -13 , -2142
D , 947 , -172 , -13 , -1907
D , 948 , -175 , -27 , -1895
D , 949 , -177 , -23 , -2017
D , 950 , -178 , 5 , -2032
D , 951 , -176 , 33 , -1864
D , 952 , -171 , 44 , -1589
D , 953 , -168 , 40 , -1630
D , 954 , -162 , 84 , -1977
D , 955 , -150 , 159 , -1776
D , 956 , -131 , 216 , -1366
D , 957 , -107 , 257 , -935
D , 958 , -79 , 258 , -598
D , 959 , -55 , 217 , -165
D , 960 , -40 , 93 , 148
D , 961 , -38 , -25 , -81
D , 962 , -47 , -131 , -768
D , 963 , -62 , -171 , -1175
D , 964 , -81 , -190 , -1189
D , 965 , -100 , -191 , -1493
D , 966 , -116 , -144 , -1582
D , 967 , -128 , -93 , -1677
D , 968 , -135 , -59 , -1716
D , 969 , -140 , -44 , -2058
D , 970 , -141 , 30 , -1673
D , 971 , -136 , 43 , -986
D , 972 , -132 , 43 , -1560
D , 973 , -126 , 84 , -1548
D , 974 , -115 , 108 , -622
D , 975 , -107 , 62 , -581
D , 976 , -102 , 47 , -1263
D , 977 , -96 , 58 , -461
D , 978 , -93 , 9 , -483
D , 979 , -93 , 2 , -1287
D , 980 , -89 , 68 , -1089
D , 981 , -83 , 34 , -102
D , 982 , -82 , 5 , -969
D , 983 , -78 , 53 , -430
D , 984 , -76 , 14 , 275
D , 985 , -77 , -18 , -854
D , 986 , -76 , 29 , -746
D , 987 , -74 , -8 , -292
D , 988 , -76 , -21 , -876
D , 989 , -76 , 10 , -272
D , 990 , -77 , -26 , -119
D , 991 , -80 , -18 , -490
D , 992 , -81 , -22 , -26
D , 993 , -85 , -62 , -244
D , 994 , -90 , -27 , -69
D , 995 , -91 , -18 , -88
D , 996 , -95 , -55 , -272
D , 997 , -96 , 14 , -497
D , 998 , -94 , 16 , 485
D , 999 , -93 , -7 , -88
D , 1000 , -92 , 47 , -191
D , 1001 , -87 , 37 , 519
D , 1002 , -85 , 12 , 86
D , 1003 , -84 , 26 , -11
D , 1004 , -79 , 47 , 526
D , 1005 , -76 , 30 , 572
D , 1006 , -72 , 33 , 308
D , 1007 , -68 , 61 , 890
D , 1008 , -62 , 54 , 1141
D , 1009 , -58 , 17 , 998
D , 1010 , -57 , 7 , 964
D , 1011 , -56 , 7 , 969
D , 1012 , -55 , 18 , 821
D , 1013 , -53 , 23 , 1098
D , 1014 , -51 , 14 , 1122
D , 1015 , -50 , 7 , 825
D , 1016 , -49 , 12 , 734
D , 1017 , -47 , 35 , 782
D , 1018 , -43 , 30 , 868
D , 1019 , -41 , 17 , 804
D , 1020 , -39 , 11 , 569
D , 1021 , -38 , 19 , 490
D , 1022 , -35 , 21 , 631
D , 1023 , -34 , -6 , 720
D , 1024 , -37 , -48 , 584
D , 1025 , -44 , -78 , 318
D , 1026 , -52 , -95 , 301
D , 1027 , -64 , -157 , 332
D , 1028 , -85 , -231 , 272
D , 1029 , -111 , -279 , -335
D , 1030 , -138 , -248 , -1192
D , 1031 , -156 , -129 , -1697
D , 1032 , -158 , 86 , -1572
D , 1033 , -142 , 209 , -493
D , 1034 , -119 , 239 , 536
D , 1035 , -97 , 217 , 390
D , 1036 , -75 , 231 , 225
D , 1037 , -51 , 212 , 852
D , 1038 , -33 , 157 , 1160
D , 1039 , -23 , 68 , 981
D , 1040 , -20 , 7 , 706
D , 1041 , -22 , -48 , 627
D , 1042 , -29 , -83 , 512
D , 1043 , -38 , -106 , 124
D , 1044 , -49 , -117 , -146
D , 1045 , -59 , -78 , -631
D , 1046 , -65 , -28 , -306
D , 1047 , -68 , -29 , -198
D , 1048 , -70 , -8 , -655
D , 1049 , -70 , 14 , -557
D , 1050 , -67 , 31 , -90
D , 1051 , -64 , 20 , -466
D , 1052 , -60 , 53 , -1038
D , 1053 , -53 , 82 , -691
D , 1054 , -48 , 42 , 227
D , 1055 , -44 , 23 , -562
D , 1056 , -42 , 29 , -418
D , 1057 , -41 , -25 , -478
D , 1058 , -46 , -57 , -531
D , 1059 , -53 , -82 , -1141
D , 1060 , -61 , -79 , -1553
D , 1061 , -69 , -74 , -1479
D , 1062 , -75 , -63 , -1979
D , 1063 , -80 , -28 , -1766
D , 1064 , -81 , -27 , -1385
D , 1065 , -85 , -27 , -2008
D , 1066 , -86 , -9 , -1917
D , 1067 , -86 , 19 , -1730
D , 1068 , -84 , 32 , -1522
D , 1069 , -81 , 9 , -1328
D , 1070 , -82 , -12 , -1354
D , 1071 , -83 , -19 , -1304
D , 1072 , -85 , -24 , -1036
D , 1073 , -90 , -58 , -1194
D , 1074 , -98 , -79 , -1381
D , 1075 , -106 , -88 , -1309
D , 1076 , -115 , -74 , -1452
D , 1077 , -119 , -19 , -1409
D , 1078 , -119 , 0 , -1055
D , 1079 , -121 , -26 , -911
D , 1080 , -124 , -27 , -1029
D , 1081 , -125 , -8 , -1024
D , 1082 , -125 , 10 , -962
D , 1083 , -123 , 26 , -864
D , 1084 , -120 , 34 , -663
D , 1085 , -116 , 35 , -557
D , 1086 , -113 , 28 , -450
D , 1087 , -111 , 16 , -375
D , 1088 , -109 , 11 , -402
D , 1089 , -108 , 17 , -502
D , 1090 , -106 , 23 , -478
D , 1091 , -104 , 15 , -392
D , 1092 , -103 , 10 , -418
D , 1093 , -101 , 15 , -454
D , 1094 , -100 , 18 , -450
D , 1095 , -98 , 13 , -373
D , 1096 , -97 , 4 , -426
D , 1097 , -97 , -1 , -514
D , 1098 , -97 , -3 , -452
D , 1099 , -98 , -8 , -447
D , 1100 , -100 , -22 , -569
D , 1101 , -102 , -21 , -837
D , 1102 , -103 , -2 , -823
D , 1103 , -103 , 2 , -694
D , 1104 , -103 , 2 , -670
D , 1105 , -103 , 1 , -775
D , 1106 , -102 , 9 , -739
D , 1107 , -101 , 14 , -651
D , 1108 , -99 , 17 , -596
D , 1109 , -98 , 21 , -643
D , 1110 , -95 , 28 , -540
D , 1111 , -92 , 33 , -476
D , 1112 , -89 , 26 , -318
D , 1113 , -87 , 12 , -275
D , 1114 , -86 , 3 , -292
D , 1115 , -86 , 0 , -521
D , 1116 , -86 , 2 , -466
D , 1117 , -85 , 5 , -433
D , 1118 , -85 , 7 , -368
D , 1119 , -84 , 2 , -351
D , 1120 , -84 , -7 , -392
D , 1121 , -85 , -12 , -519
D , 1122 , -87 , -10 , -557
D , 1123 , -87 , -10 , -533
D , 1124 , -89 , -13 , -581
D , 1125 , -90 , -15 , -545
D , 1126 , -92 , -12 , -586
D , 1127 , -93 , -9 , -576
D , 1128 , -93 , -8 , -512
D , 1129 , -95 , -13 , -519
D , 1130 , -96 , -14 , -531
D , 1131 , -98 , -18 , -564
D , 1132 , -99 , -15 , -629
D , 1133 , -101 , -13 , -665
D , 1134 , -102 , -1 , -725
D , 1135 , -101 , 3 , -624
D , 1136 , -101 , 4 , -617
D , 1137 , -100 , 3 , -545
D , 1138 , -100 , 0 , -493
D , 1139 , -100 , 1 , -497
D , 1140 , -100 , 1 , -545
D , 1141 , -100 , 2 , -562
D , 1142 , -100 , 6 , -636
D , 1143 , -99 , 8 , -579
D , 1144 , -98 , 8 , -538
D , 1145 , -97 , 8 , -497
D , 1146 , -97 , 0 , -411
D , 1147 , -97 , -8 , -493
D , 1148 , -98 , -15 , -509
D , 1149 , -100 , -11 , -651
D , 1150 , -101 , -2 , -648
D , 1151 , -100 , 7 , -653
D , 1152 , -99 , 10 , -660
D , 1153 , -98 , 9 , -588
D , 1154 , -97 , 6 , -538
D , 1155 , -97 , -1 , -461
D , 1156 , -98 , -4 , -517
D , 1157 , -98 , -6 , -593
D , 1158 , -99 , -6 , -550
D , 1159 , -100 , -6 , -607
D , 1160 , -100 , -4 , -631
D , 1161 , -100 , 1 , -651
D , 1162 , -99 , 8 , -677
D , 1163 , -98 , 16 , -639
D , 1164 , -97 , 19 , -574
D , 1165 , -95 , 14 , -476
D , 1166 , -94 , 5 , -552
D , 1167 , -93 , 12 , -627
D , 1168 , -91 , 22 , -567
D , 1169 , -89 , 22 , -421
D , 1170 , -87 , 14 , -402
D , 1171 , -86 , 7 , -416
D , 1172 , -86 , 2 , -440
D , 1173 , -86 , 1 , -445
D , 1174 , -86 , -1 , -476
D , 1175 , -86 , -5 , -545
D , 1176 , -87 , -1 , -646
D , 1177 , -87 , 5 , -677
D , 1178 , -86 , 9 , -574
D , 1179 , -85 , 9 , -505
D , 1180 , -84 , 5 , -552
D , 1181 , -84 , 3 , -526
D , 1182 , -83 , 3 , -533
D , 1183 , -83 , 4 , -545
D , 1184 , -82 , 6 , -531
D , 1185 , -82 , 6 , -540
D , 1186 , -81 , 6 , -526
D , 1187 , -80 , 5 , -502
D , 1188 , -80 , 0 , -469
D , 1189 , -80 , -1 , -524
D , 1190 , -80 , -1 , -540
D , 1191 , -80 , 2 , -531
D , 1192 , -80 , 4 , -512
D , 1193 , -80 , 4 , -540
D , 1194 , -79 , 2 , -521
D , 1195 , -79 , 0 , -497
D , 1196 , -79 , 0 , -548
D , 1197 , -79 , -1 , -567
D , 1198 , -79 , 0 , -569
D , 1199 , -79 , 6 , -569
