Searching for any hub with Pybricks service...
battery mV: 8436
fell_in_seg: 1
t_ms,seg,pitch_x10,duty,wheel_speed_dps,speed_term_duty
4481,1,-212,-40,-465,0
4501,1,-226,-40,-496,0
4521,1,-246,-40,-517,0
4541,1,-270,-40,-517,0
4561,1,-294,-40,-521,0
4581,1,-330,-40,-527,0
4601,1,-374,-40,-531,0
4621,1,-424,-40,-530,0
END

[exited with code 0]
